Version,Processes,Size,Total_Time(s),Comp_Time(s),Comm_Time(s)
sequential,1,25000,0.126207
sequential,1,25000,0.124865
sequential,1,25000,0.124651
sequential,1,25000,0.124651
sequential,1,25000,0.124619
mpi,2,25000,0.054536,0.054220,0.000316
mpi,2,25000,0.054048,0.053739,0.000308
mpi,2,25000,0.054083,0.053786,0.000298
mpi,2,25000,0.054106,0.053812,0.000294
mpi,2,25000,0.054411,0.054118,0.000293
mpi,4,25000,0.028028,0.027189,0.000840
mpi,4,25000,0.027980,0.027285,0.000695
mpi,4,25000,0.027891,0.027308,0.000583
mpi,4,25000,0.028243,0.027445,0.000799
mpi,4,25000,0.028232,0.027458,0.000774
mpi,8,25000,0.028937,0.014179,0.014758
mpi,8,25000,0.029006,0.014167,0.014838
mpi,8,25000,0.028916,0.028530,0.000386
mpi,8,25000,0.028920,0.028625,0.000295
mpi,8,25000,0.028951,0.014188,0.014763
mpi,12,25000,0.035614,0.018989,0.016626
mpi,12,25000,0.019832,0.019004,0.000828
mpi,12,25000,0.019848,0.019006,0.000842
mpi,12,25000,0.019884,0.019064,0.000820
mpi,12,25000,0.019903,0.018978,0.000925
sequential,1,50000,0.498772
sequential,1,50000,0.498890
sequential,1,50000,0.495019
sequential,1,50000,0.494137
sequential,1,50000,0.493099
mpi,2,50000,0.219408,0.218824,0.000583
mpi,2,50000,0.217248,0.216660,0.000587
mpi,2,50000,0.216519,0.215139,0.001380
mpi,2,50000,0.215907,0.213849,0.002058
mpi,2,50000,0.218177,0.216790,0.001387
mpi,4,50000,0.110844,0.109378,0.001467
mpi,4,50000,0.111799,0.109496,0.002302
mpi,4,50000,0.111703,0.110917,0.000786
mpi,4,50000,0.124444,0.123066,0.001378
mpi,4,50000,0.129665,0.128543,0.001123
mpi,8,50000,0.115810,0.114570,0.001239
mpi,8,50000,0.115888,0.057139,0.058749
mpi,8,50000,0.116242,0.057593,0.058649
mpi,8,50000,0.115918,0.056990,0.058928
mpi,8,50000,0.115893,0.056865,0.059028
mpi,12,50000,0.078415,0.076436,0.001978
mpi,12,50000,0.078086,0.076265,0.001822
mpi,12,50000,0.078392,0.076164,0.002228
mpi,12,50000,0.078090,0.076282,0.001808
mpi,12,50000,0.085034,0.083053,0.001980
sequential,1,100000,2.034359
sequential,1,100000,2.032200
sequential,1,100000,2.024369
sequential,1,100000,2.025927
sequential,1,100000,2.037569
mpi,2,100000,0.892098,0.881939,0.010158
mpi,2,100000,0.899897,0.899073,0.000824
mpi,2,100000,0.880848,0.880009,0.000839
mpi,2,100000,0.891722,0.881479,0.010243
mpi,2,100000,0.881645,0.880586,0.001059
mpi,4,100000,0.460212,0.448472,0.011740
mpi,4,100000,0.454028,0.449534,0.004494
mpi,4,100000,0.448276,0.447137,0.001138
mpi,4,100000,0.451189,0.448693,0.002496
mpi,4,100000,0.455202,0.454082,0.001120
mpi,8,100000,0.460582,0.458598,0.001984
mpi,8,100000,0.500587,0.497276,0.003312
mpi,8,100000,0.508772,0.288931,0.219841
mpi,8,100000,0.505315,0.275930,0.229385
mpi,8,100000,0.511936,0.291239,0.220698
mpi,12,100000,0.347919,0.344129,0.003789
mpi,12,100000,0.342725,0.288264,0.054461
mpi,12,100000,0.347083,0.343203,0.003880
mpi,12,100000,0.359126,0.354774,0.004351
mpi,12,100000,0.362897,0.358652,0.004245
sequential,1,200000,8.131210
sequential,1,200000,8.139127
sequential,1,200000,8.168193
sequential,1,200000,8.141147
sequential,1,200000,8.148405
mpi,2,200000,3.545057,3.543770,0.001287
mpi,2,200000,3.558999,3.524306,0.034693
mpi,2,200000,3.554829,3.542918,0.011911
mpi,2,200000,3.546660,3.527281,0.019380
mpi,2,200000,3.548367,3.547041,0.001326
mpi,4,200000,1.818299,1.816403,0.001896
mpi,4,200000,1.811270,1.809390,0.001880
mpi,4,200000,1.829428,1.819077,0.010351
mpi,4,200000,1.833181,1.831324,0.001857
mpi,4,200000,1.805549,1.800224,0.005325
mpi,8,200000,1.837579,1.832646,0.004933
mpi,8,200000,1.903287,0.998774,0.904513
mpi,8,200000,1.883677,0.976838,0.906839
mpi,8,200000,1.888361,1.881884,0.006477
mpi,8,200000,1.908870,1.902101,0.006769
mpi,12,200000,1.317013,1.258564,0.058449
mpi,12,200000,1.343125,1.281129,0.061995
mpi,12,200000,1.274734,1.233550,0.041184
mpi,12,200000,1.345936,1.284350,0.061586
mpi,12,200000,1.293871,1.218914,0.074956
